205,臺中市,大里區,金城宮,,天上聖母,塗城路923巷19號2樓,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00676,NULL,120.69572508910687,24.090359684088227
206,屏東縣,高樹鄉,新鳳宮,,天上聖母,社北路新南村17-20號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00688,NULL,120.56053804050876,22.786532330498524
207,臺中市,太平區,樂安宮,,天上聖母,新坪里育才路2-1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00700,NULL,120.72399604276339,24.15564569106951
208,屏東縣,高樹鄉,鳳聖宮,,天上聖母,新南村興農路11號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00703,NULL,120.56815573045152,22.791403391395033
209,屏東縣,恆春鎮,奉天宮,,天上聖母,頭溝里8鄰,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00704,NULL,120.70834972895503,22.020246151964855
210,高雄市,燕巢區,天后宮(安招里),,天上聖母,新厝巷安招里一九號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00711,NULL,120.34011834693,22.79046989342056
211,桃園縣,蘆竹鄉,桃園樂天宮,,天上聖母,海湖村二十一鄰三十七號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00728,NULL,121.26087050534963,25.101184253125464
212,臺中市,太平區,太和宮,,天上聖母,太平里太平十九街11號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00731,NULL,120.71615164505666,24.123759178074504
213,彰化縣,埔鹽鄉,慈賢宮,,天上聖母,大有村員鹿路三段臨80號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00737,NULL,120.45273636995393,24.01577034021195
214,臺中市,太平區,奉天三聖宮,,天上聖母,宜信街52巷43弄64號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00745,NULL,120.71306817460906,24.13645698836902
215,臺中市,大里區,佑福宮,,天上聖母,健東一街健民里60號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00758,NULL,120.73797058939786,24.08623021119218
216,彰化縣,花壇鄉,瑤聖宮,,天上聖母,明雅街崙雅村256巷19弄16號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00782,NULL,120.52842063997564,24.029067965559214
47075000354409
620,臺中市,中區,財團法人台灣省台中市幸天宮,,天上聖母,建國路159巷27號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/06582,NULL,120.68474686657807,24.13841285395227
621,臺中市,沙鹿區,沙鹿區朝順宮,,天上聖母,六路里南陽路55號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/06584,NULL,120.57983148618501,24.214103950140753
622,臺中市,大肚區,永和宮,,天上聖母,永和街永和里13號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/06586,NULL,120.54410543506842,24.14901506477568
623,彰化縣,彰化市,南正宮,,天上聖母,三村路三村里852巷31號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/06596,NULL,,
624,宜蘭縣,蘇澳鎮,南天宮,,天上聖母,江夏路南正里十七號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/06605,NULL,121.86494542374305,24.581606586018264
625,臺中市,后里區,慈厚宮,,天上聖母,甲后路厚里村5鄰490號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/06609,NULL,,
626,雲林縣,口湖鄉,天台宮,,天上聖母,臺子村一六鄰臺興路八六號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/06690,NULL,120.14065510992351,23.560402683707405
627,高雄市,杉林區,公明宮,,天上聖母,清水路公明巷月眉里十三鄰二四號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/06697,NULL,,
628,高雄市,永安區,永安宮,,天上聖母,永安路永華村四九號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/06702,NULL,120.23773322292037,22.82395249508718
8359052926,22.83304968537746
745,彰化縣,田中鎮,龍門宮,,天上聖母,龍潭里員集路三段729巷393弄85號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/08124,NULL,120.58105910903478,23.86748751474275
746,屏東縣,里港鄉,慈龍宮,,天上聖母,鐵店路鐵店村55-3號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/08169,NULL,120.50284276352849,22.777888164422166
華新二路68之1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/12038,NULL,121.66516390030422,25.11914969447346
1103,宜蘭縣,壯圍鄉,福德廟,,福德正神,壯濱路３段過嶺村53巷1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/12056,NULL,121.81534829332345,24.7615608058779
1104,基隆市,仁愛區,協安宮,,福德正神,南新街51巷73之5號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/12080,NULL,121.74918427243422,25.121206907176163
1105,屏東縣,東港鎮,福安宮,,福德正神,船頭路船頭里33號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/12093,NULL,120.46720016333508,22.463823133084695
1106,屏東縣,麟洛鄉,高墩福德祠,,福德正神,田心村第一鄰,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/12100,NULL,120.52266762142067,22.637450028107157
1107,屏東縣,枋寮鄉,保安宮福德宮,,福德正神,保生村沿海邊,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/12104,NULL,120.59992133098457,22.356422474886237
1108,宜蘭縣,三星鄉,月眉福德廟,,福德正神,月眉小段93-12號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/12107,NULL,,
1109,宜蘭縣,三星鄉,大洲福德祠,,福德正神,大德段208號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/12109,NULL,,
1110,臺中市,清水區,清水鎮下湳里福德祠,,福德正神,中山路下湳里520-3號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/12113,NULL,120.58060853517274,24.280437634654916
1111,嘉義縣,民雄鄉,嘉義縣民雄鄉福興宮,,福德正神,東榮村8鄰建國路一段31巷25之5號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/12123,NULL,120.43268360708473,23.554825285004917
1112,臺南市,中西區,福德爺廟,,福德正神,城隍街42號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/12129,NULL,120.2081765470539,22.989760388609053
1113,屏東縣,車城鄉,福安宮,,福德正神,福安路福安村7鄰51號,NULL,NULL,htt114,高雄市,岡山區,聖母宮,,天上聖母,大遼路3-1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11553,NULL,120.3152482768221,22.779758178777968
115,高雄市,內門區,龍角寺(中埔),,天上聖母,中埔里四五號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11566,NULL,120.44369697036281,22.925634734767637
,大坑尾大坑里5鄰65號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/02466,NULL,,
329,新北市,板橋區,板橋市慈后宮,,天上聖母,宏翠里八鄰長江路一段106巷7號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/02472,NULL,121.45986067182992,25.029321525202274
330,桃園縣,觀音鄉,保障宮,,天上聖母,保障村15鄰大觀路一段579號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/02485,NULL,121.14438262956565,25.048125053792287
