54,新竹市,,財團法人新竹內天后宮,,天上聖母,興南里西門街184號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10599,NULL
55,彰化縣,二林鎮,慈靈宮,,天上聖母,同安巷西庄里80號之1,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10624,NULL
56,臺中市,后里區,泉州宮,,天上聖母,泉州路14-6號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10640,NULL
57,屏東縣,內埔鄉,慈濟宮,,天上聖母,竹南路豐田村27號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10666,NULL
58,雲林縣,莿桐鄉,福天宮,,天上聖母,振興興桐村路五五號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10679,NULL
59,新竹市,,香山天后宮,,天上聖母,朝山里8鄰中華路五段420巷191號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10694,NULL
60,嘉義市,,順興宮,,天上聖母,興安街129號之1,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10698,NULL
61,臺中市,沙鹿區,忠天宮,,天上聖母,鹿寮里中山路松蔭巷56號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10700,NULL
62,臺中市,南區,財團法人台灣省台中林氏宗廟,,天上聖母,國光路55號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10747,NULL
63,彰化縣,溪湖鎮,福安宮,,天上聖母,信善街光平里1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10748,NULL
64,屏東縣,屏東市,屏東市明鳳宮,,天上聖母,四維路12之1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10801,NULL
65,彰化縣,秀水鄉,慈濟宮,,天上聖母,復新街福安村3號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10813,NULL
66,臺南市,中西區,新南宮,,天上聖母,府前路二段243號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10832,NULL
67,彰化縣,芬園鄉,進安宮,,天上聖母,進芬村進芬路136號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10879,NULL
68,南投縣,南投市,配天宮(慈雲寺 指南宮 福德祠),,天上聖母,中山街65號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10933,NULL
69,高雄市,內門區,埔尾天后宮,,天上聖母,埔尾瑞山里1鄰12-1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10953,NULL
70,屏東縣,屏東市,慈天宮,,天上聖母,歸義巷湖南里13號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10957,NULL
71,臺中市,霧峰區,福天宮,,天上聖母,民生路桐林里761號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10971,NULL
